,trial,n,dn_epsilon,num_queries,percent_reconstructed,mechanism_error
0,0,500,10,200,0.772,0.0
1,0,500,10,250,0.808,0.0
2,0,500,10,300,0.858,0.0
3,0,500,10,350,0.912,0.0
4,0,500,10,400,0.96,0.0
5,0,500,10,450,0.966,0.0
6,0,500,10,500,0.988,0.0
7,0,500,10,550,1.0,0.0
8,0,500,10,600,1.0,0.0
9,0,500,10,650,1.0,0.0
10,0,500,10,700,1.0,0.0
11,0,500,10,750,1.0,0.0
12,0,500,10,800,1.0,0.0
13,0,500,10,850,1.0,0.0
14,0,500,10,900,1.0,0.0
15,0,500,10,950,1.0,0.0
16,0,500,10,1000,1.0,0.0
17,0,500,10,1050,1.0,0.0
18,0,500,10,1100,1.0,0.0
19,0,500,10,1150,1.0,0.0
20,0,1000,10,200,0.673,0.0
21,0,1000,10,250,0.702,0.0
22,0,1000,10,300,0.708,0.0
23,0,1000,10,350,0.75,0.0
24,0,1000,10,400,0.77,0.0
25,0,1000,10,450,0.804,0.0
26,0,1000,10,500,0.813,0.0
27,0,1000,10,550,0.849,0.0
28,0,1000,10,600,0.872,0.0
29,0,1000,10,650,0.868,0.0
30,0,1000,10,700,0.918,0.0
31,0,1000,10,750,0.931,0.0
32,0,1000,10,800,0.942,0.0
33,0,1000,10,850,0.969,0.0
34,0,1000,10,900,0.972,0.0
35,0,1000,10,950,0.983,0.0
36,0,1000,10,1000,0.987,0.0
37,0,1000,10,1050,0.994,0.0
38,0,1000,10,1100,0.988,0.0
39,0,1000,10,1150,0.998,0.0
40,1,500,10,200,0.788,0.0
41,1,500,10,250,0.854,0.0
42,1,500,10,300,0.868,0.0
43,1,500,10,350,0.896,0.0
44,1,500,10,400,0.928,0.0
45,1,500,10,450,0.974,0.0
46,1,500,10,500,0.99,0.0
47,1,500,10,550,1.0,0.0
48,1,500,10,600,1.0,0.0
49,1,500,10,650,1.0,0.0
50,1,500,10,700,1.0,0.0
51,1,500,10,750,1.0,0.0
52,1,500,10,800,1.0,0.0
53,1,500,10,850,1.0,0.0
54,1,500,10,900,1.0,0.0
55,1,500,10,950,1.0,0.0
56,1,500,10,1000,1.0,0.0
57,1,500,10,1050,1.0,0.0
58,1,500,10,1100,1.0,0.0
59,1,500,10,1150,1.0,0.0
60,1,1000,10,200,0.6819999999999999,0.0
61,1,1000,10,250,0.6799999999999999,0.0
62,1,1000,10,300,0.71,0.0
63,1,1000,10,350,0.76,0.0
64,1,1000,10,400,0.776,0.0
65,1,1000,10,450,0.8160000000000001,0.0
66,1,1000,10,500,0.83,0.0
67,1,1000,10,550,0.857,0.0
68,1,1000,10,600,0.864,0.0
69,1,1000,10,650,0.889,0.0
70,1,1000,10,700,0.905,0.0
71,1,1000,10,750,0.921,0.0
72,1,1000,10,800,0.957,0.0
73,1,1000,10,850,0.9390000000000001,0.0
74,1,1000,10,900,0.97,0.0
75,1,1000,10,950,0.982,0.0
76,1,1000,10,1000,0.989,0.0
77,1,1000,10,1050,0.994,0.0
78,1,1000,10,1100,0.998,0.0
79,1,1000,10,1150,1.0,0.0
80,2,500,10,200,0.764,0.0
81,2,500,10,250,0.806,0.0
82,2,500,10,300,0.838,0.0
83,2,500,10,350,0.92,0.0
84,2,500,10,400,0.928,0.0
85,2,500,10,450,0.976,0.0
86,2,500,10,500,0.998,0.0
87,2,500,10,550,0.998,0.0
88,2,500,10,600,0.998,0.0
89,2,500,10,650,1.0,0.0
90,2,500,10,700,1.0,0.0
91,2,500,10,750,1.0,0.0
92,2,500,10,800,1.0,0.0
93,2,500,10,850,1.0,0.0
94,2,500,10,900,1.0,0.0
95,2,500,10,950,1.0,0.0
96,2,500,10,1000,1.0,0.0
97,2,500,10,1050,1.0,0.0
98,2,500,10,1100,1.0,0.0
99,2,500,10,1150,1.0,0.0
100,2,1000,10,200,0.677,0.0
101,2,1000,10,250,0.698,0.0
102,2,1000,10,300,0.737,0.0
103,2,1000,10,350,0.739,0.0
104,2,1000,10,400,0.752,0.0
105,2,1000,10,450,0.8,0.0
106,2,1000,10,500,0.819,0.0
107,2,1000,10,550,0.85,0.0
108,2,1000,10,600,0.858,0.0
109,2,1000,10,650,0.887,0.0
110,2,1000,10,700,0.915,0.0
111,2,1000,10,750,0.911,0.0
112,2,1000,10,800,0.945,0.0
113,2,1000,10,850,0.946,0.0
114,2,1000,10,900,0.971,0.0
115,2,1000,10,950,0.978,0.0
116,2,1000,10,1000,0.995,0.0
117,2,1000,10,1050,0.992,0.0
118,2,1000,10,1100,0.998,0.0
119,2,1000,10,1150,0.999,0.0
